FB_SPEED,FB_LAP_DIST,FB_BRAKE,MB_LAP_DIST,MB_BRAKE,FS_DIST_FROM_LEFT,FS_SPEED,FS_LAP_DIST,FS_BRAKE,FS_STEERING,MS_DIST_FROM_LEFT,MS_SPEED,MS_LAP_DIST,MS_THROTTLE,MS_BRAKE,MS_STEERING,FT_DIST_FROM_LEFT,FT_SPEED,FT_LAP_DIST,FT_THROTTLE,MT_DIST_FROM_LEFT,MT_SPEED,MT_LAP_DIST,MT_THROTTLE,360_DIST_FROM_LEFT,360_SPEED,360_ANGLE_APEX_1,468_DIST_FROM_LEFT,468_SPEED,468_ANGLE_APEX_2,SECTION_TIME_MS,FB_LAP_DIST_FROM_APEX_1,FS_LAP_DIST_FROM_APEX_1,FT_LAP_DIST_FROM_APEX_1,MS_LAP_DIST_FROM_APEX_1,MS_LAP_DIST_FROM_APEX_2,MB_LAP_DIST_FROM_APEX_1,MT_LAP_DIST_FROM_APEX_1,MT_LAP_DIST_FROM_APEX_2
317,274.0488281,0.372549027,353.8710938,0.917647064,2.604457147,238,325.9335938,0.870588243,0.085870147,14.71567539,141,386.9707031,0.06666667,0.0,0.735828221,14.03093327,143,380.0332031,0.035294119,2.016181622,158,427.234375,1.0,6.783712242,173,106.1010912,0.769684506,192,114.5898048,10838,279.012571,329.770504,381.999765683,385.243281063,392.7233972,356.99256680999997,349.79712194,430.46677905
285,253.8808594,0.811764717,261.6196289,1.0,3.47950865,172,304.3461914,1.0,0.078850992,4.359152142,117,406.3632813,0.31764707,0.0,0.413176149,6.693383573,113,333.5556641,0.074509807,4.13510835,191,548.6054688,1.0,11.06288081,121,115.1605392,0.66278125,137,-92.41979261,14051,259.2647522,309.01139075000003,338.22349663,368.62503926,410.71355192,266.9083526,237.4568083,443.17627557000003
249,319.6077271,0.640116274,319.6077271,0.640116274,4.07416678,214,347.3329468,0.3874515,0.079423212,2.458640039,171,403.868988,0.0,0.0,0.646784186,13.8532573,149,426.8479919,0.147264823,4.051525989,211,759.3447876,0.59337759,6.132581538,200,100.3670618,13.47967562,148,-100.51558,13172,323.68207619,350.41742122,339.78033755,364.81541038,410.67233613,323.68207619,48.631726300000025,235.8916107
297,221.1029816,0.396078438,234.4426422,1.0,6.580959595,23,362.4124756,0.0,0.075951785,9.460233832,17,382.0194702,0.0,0.0,0.667315185,6.865795922,3,400.6307373,0.019607844,7.616759301,87,762.2489014,0.625423193,6.384547227,24,104.7738293,9.620735552,68,-71.90968001,81713,226.8066166,364.8708939,374.29819333,379.146243531,387.47297430000003,240.0445505,45.0066228,232.9383441
259,291.6231995,0.115541339,343.9590759,0.944335103,2.376167183,190,338.1331482,0.501502991,0.081498384,12.84795416,136,386.0469055,0.288883805,0.0,0.458609939,1.873603865,279,217.364624,0.024277091,3.870564941,148,546.6324463,1.0,5.110963086,144,100.2157221,2.916142964,125,102.264825,13244,296.28961323,341.2624067,222.8176513,383.281566382,391.7297613,346.75638552,239.2364487,445.12861604
299,283.85849,0.567687571,336.0732117,1.0,6.455354936,204,342.9583435,1.0,0.085564964,6.635045482,89,399.8169861,0.0,0.933333337,0.923056364,3.338671269,78,413.8105469,0.054901961,2.521703747,120,453.597168,0.862745106,7.563079705,167,107.7248139,3.363332258,137,-86.64931547,13184,289.26305469,347.18588875,362.17056711,374.58184172,403.88711741,340.57737983,324.69258784,455.08509363
308,279.8374023,0.550656319,354.3276367,0.796078444,7.607635051,221,344.4633789,0.574874103,0.075265124,8.977541433,135,394.3837891,0.0,0.53725493,1.0,4.83047008,85,422.2236328,0.047058824,7.47995594,181,696.7578125,0.454901963,8.532732022,198,111.8636928,1.426711244,98,93.49046339,14666,285.4299234,348.96958944,349.45148062,378.814565235,398.37211587,358.46676367,107.7791269,298.1794574
311,280.0625,0.478860557,318.3408203,1.0,4.931169306,184,348.6171875,1.0,0.108377203,11.03666061,104,389.1474609,0.0,0.964705884,1.0,5.300540963,70,403.5498047,0.015686275,5.404635697,159,745.2402344,1.0,5.878556176,162,104.5541979,2.825699012,134,-121.19486,16962,285.3375639,351.93584384,371.23914497,381.563914746,393.67373050000003,323.00193705,61.97320389999999,249.9546216
326,262.750061,0.365316242,304.2720642,1.0,3.604480827,203,336.6343384,1.0,0.08393991,14.19040474,123,384.2549744,0.0,0.0,0.701136827,13.89045029,121,389.5944214,0.0280766,8.722646182,233,597.46521,1.0,6.818551083,162,105.8517099,2.181274426,171,-94.14336349,11480,267.7778867,340.27793221,384.283468079,384.077258052,390.9377718,308.6882016,195.035592,395.1445093
324,257.8491211,0.374349594,351.2617188,1.0,2.869502972,237,324.9516602,0.949935138,0.098374963,13.913499,130,386.2890625,0.0,0.325017154,0.746028781,12.91188035,126,391.5419922,0.082291909,1.470226376,144,433.6088867,1.0,7.342358396,170,104.6781012,2.018990492,175,-91.4813765,11241,263.0051216,328.90138186,383.017134838,384.364160116,392.1495598,354.47571231,343.75020388,436.48784321
